id,description,type,offset,bits
name,RX group name,utf16,0,256
contact01,ContactMember01,binary,256,16
contact02,ContactMember02,binary,272,16
contact03,ContactMember03,binary,288,16
contact04,ContactMember04,binary,304,16
contact05,ContactMember05,binary,320,16
contact06,ContactMember06,binary,336,16
contact07,ContactMember07,binary,352,16
contact08,ContactMember08,binary,368,16
contact09,ContactMember09,binary,384,16
contact10,ContactMember10,binary,400,16
contact11,ContactMember11,binary,416,16
contact12,ContactMember12,binary,432,16
contact13,ContactMember13,binary,448,16
contact14,ContactMember14,binary,464,16
contact15,ContactMember15,binary,480,16
contact16,ContactMember16,binary,496,16
contact17,ContactMember17,binary,512,16
contact18,ContactMember18,binary,528,16
contact19,ContactMember19,binary,544,16
contact20,ContactMember20,binary,560,16
contact21,ContactMember21,binary,576,16
contact22,ContactMember22,binary,592,16
contact23,ContactMember23,binary,608,16
contact24,ContactMember24,binary,624,16
contact25,ContactMember25,binary,640,16
contact26,ContactMember26,binary,656,16
contact27,ContactMember27,binary,672,16
contact28,ContactMember28,binary,688,16
contact29,ContactMember29,binary,704,16
contact30,ContactMember30,binary,720,16
contact31,ContactMember31,binary,736,16
contact32,ContactMember32,binary,752,16
