id,description,type,offset,bits,min,max,transform_in,transform_out
name,Name,utf16,0,256,,,,
prio_channel1,Priority Channel 1,binary,256,16,,,,
prior_channel2,Priority Channel 2,binary,272,16,,,,
tx_channel,TX Designated Channel,binary,288,16,,,,
sign_hold_time,SignHoldTime (msec),binary,312,8,2,255,x//25,x*25
prio_samp_time,Priority Sample Time (msec),binary,320,8,3,31,x//250,x*25
channel01,ChannelMember01,binary,336,16,,,,
channel02,ChannelMember02,binary,352,16,,,,
channel03,ChannelMember03,binary,368,16,,,,
channel04,ChannelMember04,binary,384,16,,,,
channel05,ChannelMember05,binary,400,16,,,,
channel06,ChannelMember06,binary,416,16,,,,
channel07,ChannelMember07,binary,432,16,,,,
channel08,ChannelMember08,binary,448,16,,,,
channel09,ChannelMember09,binary,464,16,,,,
channel10,ChannelMember10,binary,480,16,,,,
channel11,ChannelMember11,binary,496,16,,,,
channel12,ChannelMember12,binary,512,16,,,,
channel13,ChannelMember13,binary,528,16,,,,
channel14,ChannelMember14,binary,544,16,,,,
channel15,ChannelMember15,binary,560,16,,,,
channel16,ChannelMember16,binary,576,16,,,,
channel17,ChannelMember17,binary,592,16,,,,
channel18,ChannelMember18,binary,608,16,,,,
channel19,ChannelMember19,binary,624,16,,,,
channel20,ChannelMember20,binary,640,16,,,,
channel21,ChannelMember21,binary,656,16,,,,
channel22,ChannelMember22,binary,672,16,,,,
channel23,ChannelMember23,binary,688,16,,,,
channel24,ChannelMember24,binary,704,16,,,,
channel25,ChannelMember25,binary,720,16,,,,
channel26,ChannelMember26,binary,736,16,,,,
channel27,ChannelMember27,binary,752,16,,,,
channel28,ChannelMember28,binary,768,16,,,,
channel29,ChannelMember29,binary,784,16,,,,
channel30,ChannelMember30,binary,800,16,,,,
channel31,ChannelMember31,binary,816,16,,,,
