id,description,type,offset,bits,min,max
info1,InfoScreenLine1,utf16,0,160,,
info2,InfoScreenLine2,utf16,160,160,,
monitor_type,MonitorType,int,515,1,,
disable_all_leds,Disable all LEDs,int,517,1,,
talk_permit_tone,TalkPermitTone,int,520,2,,
password_and_lock_enable,PasswordAndLockEnable,int,522,1,,
chfree_indication_tone,CHFreeIndicationTone,int,523,1,,
disable_all_tone,DisableAllTone,int,525,1,,
save_mode_receive,SaveModeReceive,int,526,1,,
save_preamble,SavePreamble,int,527,1,,
intro_screen,IntroScreen,int,531,1,,
radio_id,Radio ID (DMR #),int,544,24,,16776415
tx_preamble,TxPreamble (msec),int,576,8,0,144
group_call_hangtime,GroupCallHangTime (msec),int,584,8,0,70
private_call_hangtime,PrivateCallHangTime (msec),int,592,8,0,70
vox_sensitivity,VoxSensitivity,int,600,8,,
rx_lowbat_interval,RxLowBatteryInterval (sec),int,624,8,0,127
call_alert_tone,CallAlertTone,int,632,8,0,240
loneworker_resp_time,LoneWorkerRespTime,int,640,8,,
loneworker_reminder_time,LoneWorkerReminderTime,int,648,8,,
scan_digital_hangtime,ScanDigitalHangTime (msec),int,664,8,0,100
scan_analog_hangtime,ScanAnalogHangTime (msec),int,672,8,0,100
unknown1,Unknown1,int,680,8,,
keypad_lock_time,KeypadLockTime (sec),int,688,8,,
mode,ChannelDisplayMode,int,696,8,,
poweron_password,PowerOnPassword,rev_bcd,704,32,,
radio_programming_password,RadioProgPassowrd,rev_bcd,736,32,,
pc_programming_password,PcProgPassword,ascii,768,64,,
radio_name,Radio Name,utf16,896,256,,
