id,description,type,offset,bits
name,Name,utf16,0,256
channel01,ChannelMember01,binary,256,16
channel02,ChannelMember02,binary,272,16
channel03,ChannelMember03,binary,288,16
channel04,ChannelMember04,binary,304,16
channel05,ChannelMember05,binary,320,16
channel06,ChannelMember06,binary,336,16
channel07,ChannelMember07,binary,352,16
channel08,ChannelMember08,binary,368,16
channel09,ChannelMember09,binary,384,16
channel10,ChannelMember10,binary,400,16
channel11,ChannelMember11,binary,416,16
channel12,ChannelMember12,binary,432,16
channel13,ChannelMember13,binary,448,16
channel14,ChannelMember14,binary,464,16
channel15,ChannelMember15,binary,480,16
channel16,ChannelMember16,binary,496,16
